recipe_id,recipe_style,recipe_taste,ingredient,seasoning
1,,4,40,25|43
2,,4,3|35,2|5|11|18|23|30|44
3,,4,1|7|15|33|36|38|39,1|4|14|16|17|24
4,,4,2|9|30|33,2|6|16|19|23|24
5,,4,10|19|31,1|9|12|16|19|24|37
6,,4,35,1|2|5|11|16|19|27|28|37
7,,2,7|12|20|21|25|29|32,5|23|26|38
8,,5,22,7|16|19|42
9,,3,27|37,3|13|16|22
10,,2,5|32,20|32
11,,2,6|11|17,33
12,,2,8,
13,,3,23|27,32
14,,1,18|28,16|39
15,,5,24|29,20|35|40
16,,5,4|24|26,11
17,,5,16|29,19|36
18,,5,14,2|11|15|16|21|29
19,,5,34,1|2|5|10|16|19|28|31|41
20,,5,13,8|22|34
